EntryID,Region,Vendor,EntryDate,Year
1,Nairobi,Vendor_A,2018-01-05,2018
2,Nairobi,Vendor_B,2018-01-12,2018
3,Nairobi,Vendor_A,2018-02-03,2018
4,Nairobi,Vendor_C,2018-02-15,2018
5,Nairobi,Vendor_B,2018-03-01,2018
6,Nairobi,Vendor_D,2018-03-18,2018
7,Mombasa,Vendor_E,2018-01-07,2018
8,Mombasa,Vendor_F,2018-01-20,2018
9,Mombasa,Vendor_E,2018-02-11,2018
10,Mombasa,Vendor_G,2018-02-25,2018
11,Mombasa,Vendor_F,2018-03-05,2018
12,Kisumu,Vendor_H,2018-01-10,2018
13,Kisumu,Vendor_I,2018-01-22,2018
14,Kisumu,Vendor_H,2018-02-08,2018
15,Kisumu,Vendor_J,2018-02-19,2018
16,Kisumu,Vendor_I,2018-03-03,2018
17,Nakuru,Vendor_K,2018-01-04,2018
18,Nakuru,Vendor_L,2018-01-15,2018
19,Nakuru,Vendor_K,2018-02-06,2018
20,Nakuru,Vendor_M,2018-02-17,2018
21,Nakuru,Vendor_N,2018-03-02,2018
22,Nakuru,Vendor_L,2018-03-12,2018
23,Eldoret,Vendor_O,2018-01-08,2018
24,Eldoret,Vendor_P,2018-01-19,2018
25,Eldoret,Vendor_O,2018-02-09,2018
26,Eldoret,Vendor_Q,2018-02-21,2018
27,Eldoret,Vendor_P,2018-03-07,2018
28,Eldoret,Vendor_R,2018-03-20,2018
29,Nairobi,Vendor_A,2019-01-05,2019
30,Nairobi,Vendor_B,2019-01-12,2019
31,Mombasa,Vendor_E,2019-02-10,2019
32,Kisumu,Vendor_H,2019-03-15,2019
33,Nakuru,Vendor_K,2019-04-01,2019
34,Eldoret,Vendor_O,2019-05-12,2019
35,Nairobi,Vendor_C,2017-02-15,2017
36,Mombasa,Vendor_G,2017-03-05,2017
